BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
SNDX;IMOEX;01.06.2017;Индекс МосБиржи;Индекс МосБиржи;1869,66;1900,89;1904,82;1862,6;42283112574;;;2;8941856729116,33;RUB;4782605957,6012;3;
SNDX;IMOEX;02.06.2017;Индекс МосБиржи;Индекс МосБиржи;1881,87;1868,75;1881,97;1849,57;35812609333;;;2;9000247159132,44;RUB;4782605957,6012;3;
SNDX;IMOEX;05.06.2017;Индекс МосБиржи;Индекс МосБиржи;1877,69;1882,83;1894,5;1871,29;23408584007;;;2;8980274949360,07;RUB;4782605957,6012;3;
SNDX;IMOEX;06.06.2017;Индекс МосБиржи;Индекс МосБиржи;1870,04;1877,36;1882,94;1867,88;20948993561;;;2;8943686146448,16;RUB;4782605957,6012;3;
SNDX;IMOEX;07.06.2017;Индекс МосБиржи;Индекс МосБиржи;1868,42;1870,69;1889,45;1867,97;26889290070;;;2;8935917964755,87;RUB;4782605957,6012;3;
SNDX;IMOEX;08.06.2017;Индекс МосБиржи;Индекс МосБиржи;1874,21;1869,49;1874,45;1851,63;33402130491;;;2;8963589595030,75;RUB;4782605957,6012;3;
SNDX;IMOEX;09.06.2017;Индекс МосБиржи;Индекс МосБиржи;1883,34;1873,26;1888,92;1866,3;25386395503;;;2;9007286394121,9;RUB;4782605957,6012;3;
SNDX;IMOEX;13.06.2017;Индекс МосБиржи;Индекс МосБиржи;1861,27;1871,07;1871,29;1857,26;29671134220;;;2;8901734027006,35;RUB;4782605957,6012;3;
SNDX;IMOEX;14.06.2017;Индекс МосБиржи;Индекс МосБиржи;1838,32;1861,5;1862,3;1834,51;36461031355;;;2;8791969905009,58;RUB;4782605957,6012;3;
SNDX;IMOEX;15.06.2017;Индекс МосБиржи;Индекс МосБиржи;1817,82;1833,42;1833,42;1774,56;90850626608;;;2;8693913878671,4;RUB;4782605957,6012;3;
SNDX;IMOEX;16.06.2017;Индекс МосБиржи;Индекс МосБиржи;1822,91;1818,87;1833,7;1811,45;40514022653;;;2;8448599298172,57;RUB;4634679116,5022;3;
SNDX;IMOEX;19.06.2017;Индекс МосБиржи;Индекс МосБиржи;1849,78;1820,83;1851,7;1820,11;26321139977;;;2;8573150487975,8;RUB;4634679116,5022;3;
SNDX;IMOEX;20.06.2017;Индекс МосБиржи;Индекс МосБиржи;1857,96;1850,38;1870,56;1846,7;33485030802;;;2;8611038642722,19;RUB;4634679116,5022;3;
SNDX;IMOEX;21.06.2017;Индекс МосБиржи;Индекс МосБиржи;1850,81;1858,24;1861,03;1844,06;32260874865;;;2;8577920356446;RUB;4634679116,5022;3;
SNDX;IMOEX;22.06.2017;Индекс МосБиржи;Индекс МосБиржи;1860,05;1842,62;1863,42;1836,02;32802839592;;;2;8620736540600,03;RUB;4634679116,5022;3;
SNDX;IMOEX;23.06.2017;Индекс МосБиржи;Индекс МосБиржи;1867,46;1859,63;1876,36;1850,22;26546657419;;;2;8655068786593,45;RUB;4634679116,5022;3;
SNDX;IMOEX;26.06.2017;Индекс МосБиржи;Индекс МосБиржи;1860,39;1870,33;1880,11;1857,03;22580884817;;;2;8622296916546,46;RUB;4634679116,5022;3;
SNDX;IMOEX;27.06.2017;Индекс МосБиржи;Индекс МосБиржи;1878,94;1857,24;1884,41;1849,42;26711284361;;;2;8708306666162,68;RUB;4634679116,5022;3;
SNDX;IMOEX;28.06.2017;Индекс МосБиржи;Индекс МосБиржи;1891,98;1877,04;1893,65;1864,88;24870797072;;;2;8768736407897,46;RUB;4634679116,5022;3;
SNDX;IMOEX;29.06.2017;Индекс МосБиржи;Индекс МосБиржи;1881,04;1896,12;1902,8;1877,13;27268675444;;;2;8718030822121,67;RUB;4634679116,5022;3;
SNDX;IMOEX;30.06.2017;Индекс МосБиржи;Индекс МосБиржи;1879,5;1879,16;1895,98;1877,57;31119075504;;;2;8710890113342,5;RUB;4634679116,5022;3;
SNDX;IMOEX;03.07.2017;Индекс МосБиржи;Индекс МосБиржи;1902,59;1886,72;1902,59;1881,98;21689196815;;;2;8817887195163,01;RUB;4634679116,5022;3;
SNDX;IMOEX;04.07.2017;Индекс МосБиржи;Индекс МосБиржи;1917,4;1902,64;1919,23;1899,17;23689847047;;;2;8886515149970,62;RUB;4634679116,5022;3;
SNDX;IMOEX;05.07.2017;Индекс МосБиржи;Индекс МосБиржи;1921,38;1917,36;1924,53;1912,31;27620038524;;;2;8904976885236,63;RUB;4634679116,5022;3;
SNDX;IMOEX;06.07.2017;Индекс МосБиржи;Индекс МосБиржи;1923,22;1920,59;1929,43;1911,96;31039714289;;;2;8913495173613,04;RUB;4634679116,5022;3;
SNDX;IMOEX;07.07.2017;Индекс МосБиржи;Индекс МосБиржи;1912,48;1906,72;1914,29;1897,87;32083641556;;;2;8863711128924,74;RUB;4634679116,5022;3;
SNDX;IMOEX;10.07.2017;Индекс МосБиржи;Индекс МосБиржи;1925,74;1912,76;1928,1;1908,99;28979604237;;;2;8925191063861,25;RUB;4634679116,5022;3;
SNDX;IMOEX;11.07.2017;Индекс МосБиржи;Индекс МосБиржи;1937,64;1927,34;1938,11;1919,19;28624181902;;;2;8980341601301,6;RUB;4634679116,5022;3;
SNDX;IMOEX;12.07.2017;Индекс МосБиржи;Индекс МосБиржи;1954,39;1938,36;1957,02;1938,36;36305532786;;;2;9057959689705,89;RUB;4634679116,5022;3;
SNDX;IMOEX;13.07.2017;Индекс МосБиржи;Индекс МосБиржи;1959,91;1951,66;1963,37;1946,61;36308674211;;;2;9083564670691,69;RUB;4634679116,5022;3;
SNDX;IMOEX;14.07.2017;Индекс МосБиржи;Индекс МосБиржи;1960,69;1959,86;1967,6;1955,09;25452592793;;;2;9087185354841,05;RUB;4634679116,5022;3;
SNDX;IMOEX;17.07.2017;Индекс МосБиржи;Индекс МосБиржи;1959,11;1963,29;1972,49;1949,55;26054621581;;;2;9079849380448,03;RUB;4634679116,5022;3;
SNDX;IMOEX;18.07.2017;Индекс МосБиржи;Индекс МосБиржи;1947,71;1956,56;1966,86;1944,81;28468668592;;;2;9026988884555,76;RUB;4634679116,5022;3;
SNDX;IMOEX;19.07.2017;Индекс МосБиржи;Индекс МосБиржи;1951,89;1929,67;1951,89;1925,7;29405243087;;;2;9046403215859,86;RUB;4634679116,5022;3;
SNDX;IMOEX;20.07.2017;Индекс МосБиржи;Индекс МосБиржи;1946,51;1952,1;1959,33;1941,38;24831080038;;;2;9021454763696,39;RUB;4634679116,5022;3;
SNDX;IMOEX;21.07.2017;Индекс МосБиржи;Индекс МосБиржи;1925,13;1946,19;1946,19;1921;24534471295;;;2;8922342347773,69;RUB;4634679116,5022;3;
SNDX;IMOEX;24.07.2017;Индекс МосБиржи;Индекс МосБиржи;1931,75;1921,52;1934,25;1914,6;28107906199;;;2;8953048508028,97;RUB;4634679116,5022;3;
SNDX;IMOEX;25.07.2017;Индекс МосБиржи;Индекс МосБиржи;1923,73;1931,92;1936,25;1913,24;29664231265;;;2;8915869030130,08;RUB;4634679116,5022;3;
SNDX;IMOEX;26.07.2017;Индекс МосБиржи;Индекс МосБиржи;1933,1;1928,13;1938,56;1923,9;25183526803;;;2;8959307103584,41;RUB;4634679116,5022;3;
SNDX;IMOEX;27.07.2017;Индекс МосБиржи;Индекс МосБиржи;1945,12;1935,12;1945,12;1935,12;25403119121;;;2;9015013036528,31;RUB;4634679116,5022;3;
SNDX;IMOEX;28.07.2017;Индекс МосБиржи;Индекс МосБиржи;1916,75;1940,79;1940,79;1904,26;31617475393;;;2;8883508703961,21;RUB;4634679116,5022;3;
