Date,Income,Outcome,Balance
2017-08-23 00:00:00.000,"1,011272774","0,9426394117","0,06863336263"
2017-08-24 00:00:00.000,"1,190278792","1,196886346","-0,006607554462"
2017-08-25 00:00:00.000,"1,068536374","1,299081035","-0,2305446617"
2017-08-26 00:00:00.000,0,0,0
2017-08-27 00:00:00.000,0,0,0
2017-08-28 00:00:00.000,"1,36E+00","1,38E+00","-0,02516283127"
2017-08-29 00:00:00.000,"1,03218164","1,088968041","-0,05678640128"
2017-08-30 00:00:00.000,"1,130945359","1,2312289","-0,100283541"
2017-08-31 00:00:00.000,"1,38E+00","1,145165522","0,2351032517"
2017-09-01 00:00:00.000,"0,9435791571","1,20911076","-0,2655316026"
2017-09-02 00:00:00.000,0,0,0
2017-09-03 00:00:00.000,0,0,0
2017-09-04 00:00:00.000,"0,9775955161","1,025054211","-0,04745869441"
2017-09-05 00:00:00.000,"1,33E+00","1,228687383","0,1059746598"
2017-09-06 00:00:00.000,"1,073680547","0,9164898216","0,1571907254"
2017-09-07 00:00:00.000,"1,312621747","1,067942947","0,2446788"
2017-09-08 00:00:00.000,"1,199023869","1,079391559","0,1196323099"
2017-09-09 00:00:00.000,0,0,0
2017-09-10 00:00:00.000,0,0,0
2017-09-11 00:00:00.000,"1,50E+00","1,225194567","0,2819708597"
2017-09-12 00:00:00.000,"1,134351243","1,34E+00","-0,2117112401"
2017-09-13 00:00:00.000,"1,0542822","1,096959851","-0,04267765141"
2017-09-14 00:00:00.000,"1,36E+00","1,240895313","0,1123206914"
2017-09-15 00:00:00.000,"1,243547134","1,073871651","0,1696754822"
2017-09-16 00:00:00.000,0,0,0
2017-09-17 00:00:00.000,0,0,0
2017-09-18 00:00:00.000,"1,183366651","1,215845266","-0,03247861474"
2017-09-19 00:00:00.000,"1,215867674","1,049364011","0,1665036634"
2017-09-20 00:00:00.000,"1,175119953","1,083103905","0,09201604808"
2017-09-21 00:00:00.000,"1,65E+00","1,34E+00","0,2978683536"
2017-09-22 00:00:00.000,"1,278011638","1,62E+00","-0,3432410557"
2017-09-23 00:00:00.000,0,0,0
2017-09-24 00:00:00.000,0,0,0
2017-09-25 00:00:00.000,"1,84E+00","1,86E+00","-0,0092437143"
2017-09-26 00:00:00.000,"1,312645045","1,32E+00","-0,007340099126"
2017-09-27 00:00:00.000,"1,22922077","1,229443118","-0,0002223484312"
2017-09-28 00:00:00.000,"1,99E+00","1,47E+00","0,5048443972"
2017-09-29 00:00:00.000,"1,74E+00","1,59E+00","0,1336820069"
2017-09-30 00:00:00.000,0,0,0
2017-10-01 00:00:00.000,0,0,0
2017-10-02 00:00:00.000,"1,201850475","1,45E+00","-0,2512229933"
2017-10-03 00:00:00.000,"1,05806478","1,181187743","-0,1231229628"
2017-10-04 00:00:00.000,"1,301748177","1,134509702","0,1672384748"
2017-10-05 00:00:00.000,"1,46E+00","1,218275951","0,2375712668"
2017-10-06 00:00:00.000,"1,037572631","1,182974137","-0,1454015061"
2017-10-07 00:00:00.000,0,0,0
2017-10-08 00:00:00.000,0,0,0
2017-10-09 00:00:00.000,"1,23521725","1,263230428","-0,02801317796"
2017-10-10 00:00:00.000,"1,55E+00","1,239372918","0,3135953829"
2017-10-11 00:00:00.000,"1,166918922","1,140840781","0,0260781412"
2017-10-12 00:00:00.000,"1,50E+00","1,310159781","0,1869930878"
2017-10-13 00:00:00.000,"1,269935345","1,27167878","-0,001743434914"
2017-10-14 00:00:00.000,0,0,0
2017-10-15 00:00:00.000,0,0,0
2017-10-16 00:00:00.000,"1,47E+00","1,259481886","0,2208299656"
2017-10-17 00:00:00.000,"1,232446182","1,33E+00","-0,09678237886"
2017-10-18 00:00:00.000,"1,110691914","1,168699745","-0,05800783093"
2017-10-19 00:00:00.000,"1,41E+00","1,282764812","0,132646546"
2017-10-20 00:00:00.000,"1,23456549","1,061407869","0,1731576209"
2017-10-21 00:00:00.000,0,0,0
2017-10-22 00:00:00.000,0,0,0
2017-10-23 00:00:00.000,"1,47E+00","1,47E+00","0,001425046609"
2017-10-24 00:00:00.000,"1,300420638","1,255132286","0,04528835238"
2017-10-25 00:00:00.000,"1,75E+00","1,63E+00","0,1068226365"
2017-10-26 00:00:00.000,"1,25957232","1,36E+00","-0,09009036918"
2017-10-27 00:00:00.000,"1,38E+00","1,33E+00","0,04219937893"
2017-10-28 00:00:00.000,0,0,0
2017-10-29 00:00:00.000,0,0,0
2017-10-30 00:00:00.000,"1,51E+00","1,79E+00","-0,2806130591"
2017-10-31 00:00:00.000,"2,04E+00","1,47E+00","0,5564525791"
2017-11-01 00:00:00.000,"1,178222306","1,75E+00","-0,5667441362"
2017-11-02 00:00:00.000,"1,46E+00","1,098763118","0,3654260888"
2017-11-03 00:00:00.000,"1,17029967","1,63E+00","-0,4678372936"
2017-11-04 00:00:00.000,0,0,0
2017-11-05 00:00:00.000,0,0,0
2017-11-06 00:00:00.000,0,0,0
2017-11-07 00:00:00.000,"1,46E+00","1,86E+00","-0,3913195868"
2017-11-08 00:00:00.000,"1,202351947","1,37E+00","-0,1719451003"
2017-11-09 00:00:00.000,"1,306919522","1,42E+00","-0,1109021993"
2017-11-10 00:00:00.000,0,0,0
